Game,Date,Opponent,Projection,Reception,WalkOff,Nodal,Echo,Collapse,Octave,Resonance,Neutron,Proton,Electron
22,2025-04-19,TEX,3,4,Yes,No,No,No,Octave 2,0.75,3.4641016151377544,3.5,0.5
23,2025-04-20,TEX,1,0,No,Yes,No,No,Octave 2,0.0,0.0,0.5,-0.5
24,2025-04-22,CHC,10,11,Yes,No,No,Yes,Octave 2,0.9090909090909091,10.488088481701515,10.5,0.5
25,2025-04-23,CHC,6,7,Yes,Yes,No,No,Octave 2,0.8571428571428572,6.48074069840786,6.5,0.5
26,2025-04-25,PIT,0,3,No,No,No,No,Octave 2,0.0,0.0,1.5,1.5
27,2025-04-26,PIT,8,4,No,No,No,No,Octave 2,0.5,5.656854249492381,6.0,-2.0
28,2025-04-27,PIT,9,2,No,No,No,No,Octave 2,0.2222222222222222,4.242640687119285,5.5,-3.5
29,2025-04-30,CHW,2,1,No,Yes,No,No,Octave 2,0.5,1.4142135623730951,1.5,-0.5
30,2025-05-01,CHW,5,3,No,No,No,No,Octave 2,0.6,3.872983346207417,4.0,-1.0
31,2025-05-02,CHW,6,6,No,Yes,Yes,No,Octave 2,1.0,6.0,6.0,0.0
32,2025-05-03,CHW,2,2,No,Yes,Yes,No,Octave 2,1.0,2.0,2.0,0.0
33,2025-05-04,CHW,3,4,No,No,No,No,Octave 2,0.75,3.4641016151377544,3.5,0.5
34,2025-05-06,ATL,5,5,No,Yes,Yes,No,Octave 2,1.0,5.0,5.0,0.0
35,2025-05-07,ATL,4,3,No,No,No,No,Octave 2,0.75,3.4641016151377544,3.5,-0.5
36,2025-05-08,ATL,2,1,No,No,No,No,Octave 2,0.5,1.4142135623730951,1.5,-0.5
37,2025-05-10,ARI,6,2,No,No,No,No,Octave 3,0.33333333333333337,3.4641016151377544,4.0,-2.0
38,2025-05-11,ARI,5,6,No,No,No,No,Octave 3,0.8333333333333334,5.477225575051661,5.5,0.5
39,2025-05-12,ARI,4,6,No,No,No,No,Octave 3,0.6666666666666667,4.898979485566356,5.0,1.0
40,2025-05-13,ARI,7,1,No,No,No,No,Octave 3,0.1428571428571429,2.6457513110645907,4.0,-3.0
41,2025-05-14,SDP,3,5,No,No,No,No,Octave 3,0.6,3.872983346207417,4.0,1.0
42,2025-05-15,SDP,6,6,No,Yes,Yes,No,Octave 3,1.0,6.0,6.0,0.0
43,2025-05-16,SDP,2,1,No,No,No,No,Octave 3,0.5,1.4142135623730951,1.5,-0.5
44,2025-05-17,SDP,5,5,No,Yes,Yes,No,Octave 3,1.0,5.0,5.0,0.0
45,2025-05-18,SDP,8,4,No,No,No,No,Octave 3,0.5,5.656854249492381,6.0,-2.0
46,2025-05-20,ARI,1,3,No,No,No,Yes,Octave 3,0.33333333333333337,1.7320508075688772,2.0,1.0
47,2025-05-21,ARI,6,2,No,No,No,No,Octave 3,0.33333333333333337,3.4641016151377544,4.0,-2.0
48,2025-05-22,ARI,7,1,No,No,No,No,Octave 3,0.1428571428571429,2.6457513110645907,4.0,-3.0
49,2025-05-23,SF,0,2,No,No,No,No,Octave 3,0.0,0.0,1.0,1.0
50,2025-05-24,SF,3,3,No,Yes,Yes,No,Octave 3,1.0,3.0,3.0,0.0
51,2025-05-25,SF,4,5,No,No,No,No,Octave 3,0.8,4.47213595499958,4.5,0.5
52,2025-05-27,COL,5,4,No,No,No,No,Octave 3,0.8,4.47213595499958,4.5,-0.5
53,2025-05-28,COL,3,6,No,No,No,No,Octave 3,0.5,4.242640687119285,4.5,1.5
54,2025-05-29,COL,6,5,No,No,No,No,Octave 3,0.8333333333333334,5.477225575051661,5.5,-0.5
55,2025-05-30,COL,3,4,No,No,No,No,Octave 4,0.75,3.4641016151377544,3.5,0.5
56,2025-05-31,COL,5,3,No,No,No,No,Octave 4,0.6,3.872983346207417,4.0,-1.0
57,2025-06-01,COL,2,6,No,No,No,No,Octave 4,0.33333333333333337,3.4641016151377544,4.0,2.0
58,2025-06-03,PIT,8,2,No,No,No,No,Octave 4,0.25,4.0,5.0,-3.0
59,2025-06-04,PIT,7,1,No,No,No,No,Octave 4,0.1428571428571429,2.6457513110645907,4.0,-3.0
60,2025-06-05,PIT,6,6,No,Yes,No,No,Octave 4,1.0,6.0,6.0,0.0
61,2025-06-06,SDP,5,5,No,Yes,Yes,No,Octave 4,1.0,5.0,5.0,0.0
62,2025-06-07,SDP,4,3,No,No,No,No,Octave 4,0.75,3.4641016151377544,3.5,-0.5
63,2025-06-08,SDP,3,1,No,No,No,No,Octave 4,0.33333333333333337,1.7320508075688772,2.0,-1.0
64,2025-06-10,LAA,9,4,No,No,No,No,Octave 4,0.4444444444444444,6.0,6.5,-2.5
65,2025-06-11,LAA,8,2,No,No,No,No,Octave 4,0.25,4.0,5.0,-3.0
66,2025-06-12,LAA,10,5,No,No,No,No,Octave 4,0.5,7.0710678118654755,7.5,-2.5
67,2025-06-14,KCR,5,7,No,No,No,Yes,Octave 4,0.7142857142857143,5.916079783099616,6.0,1.0
68,2025-06-15,KCR,6,4,No,No,No,No,Octave 4,0.6666666666666667,4.898979485566356,5.0,-1.0
69,2025-06-16,KCR,5,5,No,Yes,Yes,No,Octave 4,1.0,5.0,5.0,0.0
70,2025-06-17,KCR,3,2,No,No,No,No,Octave 4,0.6666666666666667,2.449489742783178,2.5,-0.5
71,2025-06-18,KCR,2,1,No,No,No,No,Octave 4,0.5,1.4142135623730951,1.5,-0.5
72,2025-06-19,KCR,3,3,No,Yes,Yes,No,Octave 4,1.0,3.0,3.0,0.0
